,Rank,Player,Position,AF    ,R,G,D,M,T,C,K,H,HO,Season,Round
236,234,Ethan Hughes,DEF,60,8.4,0,16,4,2,1,9,7,0,2021,Round 1
237,234,Lachlan Keeffe,KEYD,60,6.4,1,11,3,1,0,7,4,11,2021,Round 1
238,234,Harry McKay,KEYF,60,6.4,2,10,6,0,0,7,3,0,2021,Round 1
239,234,Xavier O'Neill,FWD,60,3.8,0,18,2,2,0,9,9,0,2021,Round 1
240,241,Josh P. Kennedy,MID,59,0.7,0,17,2,3,2,8,9,0,2021,Round 1
241,241,Jack Sinclair,DEF,59,15.8,0,18,2,2,2,11,7,0,2021,Round 1
242,241,Tom Sparrow,FWD,59,10.2,0,10,3,6,2,5,5,0,2021,Round 1
243,241,Adam Treloar,FWD,59,9.2,0,18,2,3,5,7,11,0,2021,Round 1
244,245,Zac Bailey,FWD,58,15.9,3,16,0,2,2,13,3,0,2021,Round 1
245,245,Jamie Elliott,FWD,58,10.3,2,12,3,2,0,7,5,0,2021,Round 1
246,245,Nathan Jones,FWD,58,8.4,0,18,4,0,0,9,9,0,2021,Round 1
247,245,Jack Lonie,FWD,58,6.2,2,11,2,3,0,6,5,0,2021,Round 1
248,245,Dom Tyson,MID,58,-0.2,0,13,6,3,0,5,8,0,2021,Round 1
249,250,Shaun Burgoyne,DEF,57,9.2,0,17,1,3,0,11,6,0,2021,Round 1
250,250,Sam Frost,KEYD,57,20.6,0,17,4,1,0,7,10,0,2021,Round 1
251,250,Nic Naitanui,RUC,57,12.4,0,14,0,1,6,4,10,22,2021,Round 1
252,250,Isaac Quaynor,DEF,57,8.7,0,12,4,3,0,9,3,0,2021,Round 1
253,250,Jordan Roughead,KEYD,57,6.4,0,14,6,1,0,9,5,0,2021,Round 1
254,250,Chad Warner,MID,57,14.8,0,19,1,3,3,10,9,0,2021,Round 1
255,256,Dougal Howard,KEYD,56,14,0,17,1,1,0,15,2,0,2021,Round 1
256,256,Josh J. Kennedy,KEYF,56,7,2,10,5,1,0,8,2,0,2021,Round 1
257,256,Oscar McDonald,KEYF,56,7.1,2,9,3,2,0,8,1,0,2021,Round 1
258,256,Toby Nankervis,RUC,56,14.9,0,12,0,1,3,4,8,27,2021,Round 1
259,256,Alex Neal-Bullen,FWD,56,12.5,0,17,3,0,5,11,6,0,2021,Round 1
260,256,Sam Petrevski-Seton,DEF,56,3.7,0,15,3,1,1,12,3,0,2021,Round 1
261,256,Daniel Rioli,FWD,56,1.9,2,10,4,1,0,6,4,0,2021,Round 1
262,256,Lachie Schultz,FWD,56,6.7,1,10,0,5,0,9,1,0,2021,Round 1
263,264,Tyler Brown,MID,55,6.7,0,13,5,2,0,6,7,0,2021,Round 1
264,264,Bailey Dale,DEF,55,11.7,0,16,3,1,0,12,4,0,2021,Round 1
265,264,Tom Hawkins,KEYF,55,6.3,2,8,3,4,1,5,3,1,2021,Round 1
266,264,Todd Marshall,KEYF,55,9.2,2,10,5,0,0,9,1,0,2021,Round 1
267,264,Sam Reid,KEYF,55,13.6,2,6,5,2,0,5,1,5,2021,Round 1
268,264,Mitch Robinson,MID,55,8.8,0,10,2,5,2,8,2,0,2021,Round 1
269,264,Jacob Weitering,KEYD,55,7.4,0,14,5,1,1,11,3,0,2021,Round 1
270,264,Lachie Young,MID,55,12.5,0,14,3,2,0,8,6,0,2021,Round 1
271,272,Jordan Clark,MID,54,10.9,0,18,1,2,1,10,8,0,2021,Round 1
272,272,Ryan Gardner,KEYD,54,9,0,11,7,1,0,7,4,0,2021,Round 1
273,272,Ned McHenry,FWD,54,11.4,2,12,1,3,2,7,5,0,2021,Round 1
274,272,Marc Murphy,FWD,54,6.1,0,11,4,3,0,8,3,0,2021,Round 1
275,272,Lachlan Murphy,FWD,54,5.3,1,11,0,4,3,6,5,0,2021,Round 1
276,272,Matt de Boer,FWD,54,10.7,0,14,2,3,3,6,8,0,2021,Round 1
277,278,Miles Bergman,MID,53,1.6,0,14,2,3,0,7,7,0,2021,Round 1
278,278,Travis Colyer,FWD,53,1.4,0,13,3,2,0,9,4,0,2021,Round 1
279,278,Xavier Duursma,MID,53,3.1,1,14,5,1,0,8,6,0,2021,Round 1
280,278,Hugh Greenwood,MID,53,5.8,0,10,2,5,1,7,3,0,2021,Round 1
281,282,Riley Bonner,DEF,52,10.7,1,14,2,1,0,11,3,0,2021,Round 1
282,282,Bobby Hill,FWD,52,3,1,8,2,6,0,6,2,0,2021,Round 1
283,282,Luke Jackson,RUC,52,1.1,0,10,4,2,2,6,4,5,2021,Round 1
