,Team1,Team2,Points1,Points2,Venue,Season,Round,Day,Date,Attendance,Winner1,Home/Away1,Home/Away2
229,Geelong,Carlton,119.0,103.0,Docklands,2013,Round 3,Sat,13-Apr-2013,43241.0,1,A,H
230,Gold Coast,Brisbane Lions,92.0,94.0,Carrara,2013,Round 3,Sat,13-Apr-2013,12961.0,0,H,A
231,Richmond,Western Bulldogs,135.0,68.0,Docklands,2013,Round 3,Sun,14-Apr-2013,44045.0,1,A,H
232,Collingwood,Hawthorn,90.0,145.0,M.C.G.,2013,Round 3,Sun,14-Apr-2013,72254.0,0,H,H
233,Port Adelaide,Adelaide,118.0,109.0,Football Park,2013,Round 3,Sun,14-Apr-2013,40707.0,1,H,H
234,Sydney,Geelong,103.0,124.0,S.C.G.,2013,Round 4,Fri,19-Apr-2013,31060.0,0,H,A
235,Hawthorn,Fremantle,118.0,76.0,York Park,2013,Round 4,Sat,20-Apr-2013,12619.0,1,H,A
236,Richmond,Collingwood,79.0,113.0,M.C.G.,2013,Round 4,Sat,20-Apr-2013,81950.0,0,H,H
237,St Kilda,Essendon,91.0,128.0,Docklands,2013,Round 4,Sat,20-Apr-2013,46965.0,0,H,H
238,West Coast,Carlton,65.0,89.0,Subiaco,2013,Round 4,Sat,20-Apr-2013,38674.0,0,H,A
239,Gold Coast,Port Adelaide,66.0,104.0,Carrara,2013,Round 4,Sat,20-Apr-2013,11332.0,0,H,A
240,Melbourne,Greater Western Sydney,144.0,103.0,M.C.G.,2013,Round 4,Sun,21-Apr-2013,20018.0,1,H,A
241,Adelaide,Western Bulldogs,80.0,28.0,Football Park,2013,Round 4,Sun,21-Apr-2013,24684.0,1,H,A
242,North Melbourne,Brisbane Lions,125.0,62.0,Docklands,2013,Round 4,Sun,21-Apr-2013,22776.0,1,H,A
243,Essendon,Collingwood,121.0,75.0,M.C.G.,2013,Round 5,Thu,25-Apr-2013,93373.0,1,H,H
244,St Kilda,Sydney,63.0,79.0,Wellington,2013,Round 5,Thu,25-Apr-2013,22546.0,0,A,A
245,Fremantle,Richmond,81.0,80.0,Subiaco,2013,Round 5,Fri,26-Apr-2013,36365.0,1,H,A
246,Greater Western Sydney,Gold Coast,104.0,148.0,Manuka Oval,2013,Round 5,Sat,27-Apr-2013,6832.0,0,H,A
247,Carlton,Adelaide,115.0,83.0,M.C.G.,2013,Round 5,Sat,27-Apr-2013,44711.0,1,H,A
248,Western Bulldogs,Geelong,86.0,107.0,Docklands,2013,Round 5,Sat,27-Apr-2013,26153.0,0,H,A
249,Port Adelaide,West Coast,84.0,79.0,Football Park,2013,Round 5,Sat,27-Apr-2013,26132.0,1,H,A
250,Brisbane Lions,Melbourne,122.0,94.0,Gabba,2013,Round 5,Sun,28-Apr-2013,19018.0,1,H,A
251,Hawthorn,North Melbourne,99.0,96.0,M.C.G.,2013,Round 5,Sun,28-Apr-2013,42103.0,1,H,A
252,Collingwood,St Kilda,103.0,77.0,Docklands,2013,Round 6,Fri,03-May-2013,40071.0,1,A,H
253,Essendon,Greater Western Sydney,120.0,81.0,Docklands,2013,Round 6,Sat,04-May-2013,30143.0,1,H,A
254,North Melbourne,Port Adelaide,93.0,83.0,Bellerive Oval,2013,Round 6,Sat,04-May-2013,10265.0,1,H,A
255,Adelaide,Hawthorn,78.0,89.0,Football Park,2013,Round 6,Sat,04-May-2013,37324.0,0,H,A
256,Gold Coast,Fremantle,54.0,99.0,Carrara,2013,Round 6,Sat,04-May-2013,10552.0,0,H,A
257,Richmond,Geelong,87.0,131.0,M.C.G.,2013,Round 6,Sat,04-May-2013,55625.0,0,H,A
258,Sydney,Brisbane Lions,115.0,55.0,S.C.G.,2013,Round 6,Sun,05-May-2013,23315.0,1,H,A
259,Carlton,Melbourne,121.0,60.0,M.C.G.,2013,Round 6,Sun,05-May-2013,35286.0,1,H,H
260,West Coast,Western Bulldogs,137.0,67.0,Subiaco,2013,Round 6,Sun,05-May-2013,36163.0,1,H,A
261,Geelong,Essendon,113.0,85.0,Docklands,2013,Round 7,Fri,10-May-2013,53014.0,1,A,H
262,Port Adelaide,Richmond,73.0,114.0,Football Park,2013,Round 7,Sat,11-May-2013,25372.0,0,H,A
263,Brisbane Lions,West Coast,82.0,108.0,Gabba,2013,Round 7,Sat,11-May-2013,17614.0,0,H,A
264,Western Bulldogs,North Melbourne,97.0,151.0,Docklands,2013,Round 7,Sat,11-May-2013,23690.0,0,H,H
265,Fremantle,Collingwood,100.0,73.0,Subiaco,2013,Round 7,Sat,11-May-2013,37214.0,1,H,A
266,Hawthorn,Sydney,119.0,82.0,M.C.G.,2013,Round 7,Sat,11-May-2013,54725.0,1,H,A
267,Greater Western Sydney,Adelaide,52.0,187.0,Sydney Showground,2013,Round 7,Sun,12-May-2013,5830.0,0,H,A
268,Melbourne,Gold Coast,54.0,114.0,M.C.G.,2013,Round 7,Sun,12-May-2013,13304.0,0,H,A
269,St Kilda,Carlton,77.0,68.0,Docklands,2013,Round 7,Mon,13-May-2013,34054.0,1,H,H
270,West Coast,North Melbourne,90.0,88.0,Subiaco,2013,Round 8,Fri,17-May-2013,38146.0,1,H,A
271,Essendon,Brisbane Lions,86.0,96.0,Docklands,2013,Round 8,Sat,18-May-2013,33915.0,0,H,A
272,Hawthorn,Greater Western Sydney,140.0,57.0,York Park,2013,Round 8,Sat,18-May-2013,10513.0,1,H,A
273,Gold Coast,Western Bulldogs,93.0,61.0,Carrara,2013,Round 8,Sat,18-May-2013,13520.0,1,H,A
274,Collingwood,Geelong,102.0,96.0,M.C.G.,2013,Round 8,Sat,18-May-2013,66768.0,1,H,A
275,Sydney,Fremantle,70.0,70.0,S.C.G.,2013,Round 8,Sat,18-May-2013,22546.0,0,H,A
276,Carlton,Port Adelaide,109.0,91.0,Docklands,2013,Round 8,Sun,19-May-2013,29936.0,1,H,A
277,Richmond,Melbourne,106.0,72.0,M.C.G.,2013,Round 8,Sun,19-May-2013,39148.0,1,H,H
278,Adelaide,St Kilda,87.0,47.0,Football Park,2013,Round 8,Sun,19-May-2013,34605.0,1,H,A
279,Collingwood,Sydney,55.0,102.0,M.C.G.,2013,Round 9,Fri,24-May-2013,65306.0,0,H,A
280,Port Adelaide,Geelong,68.0,116.0,Football Park,2013,Round 9,Sat,25-May-2013,21309.0,0,H,A
281,Greater Western Sydney,West Coast,55.0,155.0,Sydney Showground,2013,Round 9,Sat,25-May-2013,6324.0,0,H,A
282,St Kilda,Western Bulldogs,101.0,110.0,Docklands,2013,Round 9,Sat,25-May-2013,25982.0,0,H,H
283,Brisbane Lions,Carlton,85.0,98.0,Gabba,2013,Round 9,Sat,25-May-2013,24037.0,0,H,A
284,Richmond,Essendon,62.0,91.0,M.C.G.,2013,Round 9,Sat,25-May-2013,84234.0,0,H,H
285,Hawthorn,Gold Coast,118.0,92.0,M.C.G.,2013,Round 9,Sun,26-May-2013,28112.0,1,H,A
286,North Melbourne,Adelaide,124.0,125.0,Docklands,2013,Round 9,Sun,26-May-2013,23033.0,0,H,A
287,Fremantle,Melbourne,130.0,40.0,Subiaco,2013,Round 9,Sun,26-May-2013,32950.0,1,H,A
288,Brisbane Lions,Collingwood,51.0,100.0,Gabba,2013,Round 10,Fri,31-May-2013,26626.0,0,H,A
289,Carlton,Greater Western Sydney,148.0,54.0,Docklands,2013,Round 10,Sat,01-Jun-2013,25008.0,1,H,A
290,Adelaide,Fremantle,59.0,66.0,Football Park,2013,Round 10,Sat,01-Jun-2013,27684.0,0,H,A
291,Sydney,Essendon,115.0,71.0,S.C.G.,2013,Round 10,Sat,01-Jun-2013,29792.0,1,H,A
292,Western Bulldogs,Port Adelaide,67.0,58.0,Marrara Oval,2013,Round 10,Sat,01-Jun-2013,7850.0,1,A,A
293,Geelong,Gold Coast,123.0,71.0,Kardinia Park,2013,Round 10,Sat,01-Jun-2013,30087.0,1,H,A
294,Melbourne,Hawthorn,48.0,143.0,M.C.G.,2013,Round 10,Sun,02-Jun-2013,28546.0,0,H,H
295,North Melbourne,St Kilda,133.0,65.0,Docklands,2013,Round 10,Sun,02-Jun-2013,25658.0,1,H,H
296,West Coast,Richmond,62.0,103.0,Subiaco,2013,Round 10,Mon,03-Jun-2013,37781.0,0,H,A
297,Essendon,Carlton,77.0,72.0,M.C.G.,2013,Round 11,Fri,07-Jun-2013,82639.0,1,H,H
298,Greater Western Sydney,Geelong,98.0,157.0,Sydney Showground,2013,Round 11,Sat,08-Jun-2013,7809.0,0,H,A
299,Adelaide,Sydney,50.0,127.0,Football Park,2013,Round 11,Sat,08-Jun-2013,38374.0,0,H,A
300,Gold Coast,North Melbourne,66.0,51.0,Carrara,2013,Round 11,Sat,08-Jun-2013,10891.0,1,H,A
301,St Kilda,West Coast,80.0,84.0,Docklands,2013,Round 11,Sun,09-Jun-2013,23795.0,0,H,A
302,Melbourne,Collingwood,39.0,122.0,M.C.G.,2013,Round 11,Mon,10-Jun-2013,50835.0,0,H,H
303,Carlton,Hawthorn,87.0,102.0,Docklands,2013,Round 12,Fri,14-Jun-2013,45670.0,0,H,A
304,Richmond,Adelaide,110.0,72.0,M.C.G.,2013,Round 12,Sat,15-Jun-2013,43615.0,1,H,A
305,Fremantle,Brisbane Lions,86.0,46.0,Subiaco,2013,Round 12,Sat,15-Jun-2013,33384.0,1,H,A
306,Essendon,Gold Coast,115.0,72.0,Docklands,2013,Round 12,Sat,15-Jun-2013,31452.0,1,H,A
307,Greater Western Sydney,Port Adelaide,50.0,125.0,Sydney Showground,2013,Round 12,Sun,16-Jun-2013,6601.0,0,H,A
308,Collingwood,Western Bulldogs,99.0,65.0,Docklands,2013,Round 12,Sun,16-Jun-2013,32253.0,1,A,H
309,Hawthorn,West Coast,123.0,103.0,Docklands,2013,Round 13,Fri,21-Jun-2013,32567.0,1,A,A
310,Port Adelaide,Sydney,72.0,54.0,Football Park,2013,Round 13,Sat,22-Jun-2013,16096.0,1,H,A
311,St Kilda,Melbourne,104.0,69.0,M.C.G.,2013,Round 13,Sat,22-Jun-2013,28751.0,1,A,H
312,Western Bulldogs,Richmond,61.0,121.0,Docklands,2013,Round 13,Sat,22-Jun-2013,29788.0,0,H,A
313,Fremantle,North Melbourne,67.0,29.0,Subiaco,2013,Round 13,Sun,23-Jun-2013,31637.0,1,H,A
314,Brisbane Lions,Geelong,103.0,98.0,Gabba,2013,Round 13,Sun,23-Jun-2013,24164.0,1,H,A
315,West Coast,Essendon,91.0,98.0,Subiaco,2013,Round 14,Thu,27-Jun-2013,36451.0,0,H,A
316,Sydney,Carlton,65.0,43.0,S.C.G.,2013,Round 14,Fri,28-Jun-2013,25349.0,1,H,A
317,Gold Coast,Adelaide,83.0,111.0,Carrara,2013,Round 14,Sat,29-Jun-2013,13791.0,0,H,A
318,Port Adelaide,Collingwood,86.0,51.0,Football Park,2013,Round 14,Sat,29-Jun-2013,31121.0,1,H,A
319,Melbourne,Western Bulldogs,103.0,100.0,M.C.G.,2013,Round 14,Sat,29-Jun-2013,21217.0,1,H,A
320,Geelong,Fremantle,85.0,44.0,Kardinia Park,2013,Round 14,Sat,29-Jun-2013,26743.0,1,H,A
321,Hawthorn,Brisbane Lions,143.0,85.0,York Park,2013,Round 14,Sun,30-Jun-2013,15796.0,1,H,A
322,North Melbourne,Greater Western Sydney,130.0,44.0,Docklands,2013,Round 14,Sun,30-Jun-2013,15438.0,1,H,A
323,Richmond,St Kilda,119.0,55.0,M.C.G.,2013,Round 14,Sun,30-Jun-2013,52184.0,1,H,A
324,Carlton,Collingwood,77.0,118.0,M.C.G.,2013,Round 15,Fri,05-Jul-2013,78224.0,0,H,H
325,Greater Western Sydney,Western Bulldogs,83.0,87.0,Manuka Oval,2013,Round 15,Sat,06-Jul-2013,7132.0,0,H,A
326,North Melbourne,Richmond,128.0,66.0,Docklands,2013,Round 15,Sat,06-Jul-2013,45966.0,1,H,A
327,Brisbane Lions,Gold Coast,116.0,83.0,Gabba,2013,Round 15,Sat,06-Jul-2013,27170.0,1,H,A
328,Adelaide,West Coast,69.0,75.0,Football Park,2013,Round 15,Sat,06-Jul-2013,26426.0,0,H,A
329,Geelong,Hawthorn,82.0,72.0,M.C.G.,2013,Round 15,Sat,06-Jul-2013,85197.0,1,A,H
330,Melbourne,Sydney,85.0,116.0,M.C.G.,2013,Round 15,Sun,07-Jul-2013,26216.0,0,H,A
331,Fremantle,St Kilda,100.0,70.0,Subiaco,2013,Round 15,Sun,07-Jul-2013,34064.0,1,H,A
332,Essendon,Port Adelaide,118.0,88.0,Docklands,2013,Round 15,Sun,07-Jul-2013,40817.0,1,H,A
333,Collingwood,Adelaide,111.0,84.0,M.C.G.,2013,Round 16,Fri,12-Jul-2013,54790.0,1,H,A
334,Port Adelaide,Hawthorn,79.0,124.0,Football Park,2013,Round 16,Sat,13-Jul-2013,23748.0,0,H,A
335,Geelong,Melbourne,98.0,30.0,Kardinia Park,2013,Round 16,Sat,13-Jul-2013,23172.0,1,H,A
336,Richmond,Gold Coast,53.0,44.0,Cazaly's Stadium,2013,Round 16,Sat,13-Jul-2013,11197.0,1,A,A
337,Carlton,St Kilda,110.0,74.0,Docklands,2013,Round 16,Sat,13-Jul-2013,30949.0,1,H,H
338,Brisbane Lions,North Melbourne,117.0,105.0,Gabba,2013,Round 16,Sat,13-Jul-2013,18131.0,1,H,A
339,Sydney,Greater Western Sydney,171.0,42.0,S.C.G.,2013,Round 16,Sun,14-Jul-2013,21757.0,1,H,A
340,Western Bulldogs,Essendon,90.0,121.0,Docklands,2013,Round 16,Sun,14-Jul-2013,32500.0,0,H,H
341,West Coast,Fremantle,93.0,121.0,Subiaco,2013,Round 16,Sun,14-Jul-2013,39839.0,0,H,H
342,North Melbourne,Carlton,108.0,109.0,Docklands,2013,Round 17,Fri,19-Jul-2013,37443.0,0,H,H
343,Hawthorn,Western Bulldogs,95.0,76.0,York Park,2013,Round 17,Sat,20-Jul-2013,14022.0,1,H,A
344,Greater Western Sydney,Essendon,77.0,116.0,Sydney Showground,2013,Round 17,Sat,20-Jul-2013,10783.0,0,H,A
345,Gold Coast,Collingwood,85.0,78.0,Carrara,2013,Round 17,Sat,20-Jul-2013,19721.0,1,H,A
346,Melbourne,Brisbane Lions,75.0,94.0,Marrara Oval,2013,Round 17,Sat,20-Jul-2013,7615.0,0,A,A
347,St Kilda,Port Adelaide,92.0,97.0,Docklands,2013,Round 17,Sat,20-Jul-2013,14878.0,0,H,A
348,Richmond,Fremantle,84.0,57.0,M.C.G.,2013,Round 17,Sun,21-Jul-2013,40125.0,1,H,A
349,Adelaide,Geelong,94.0,92.0,Football Park,2013,Round 17,Sun,21-Jul-2013,28603.0,1,H,A
350,West Coast,Sydney,79.0,113.0,Subiaco,2013,Round 17,Sun,21-Jul-2013,35166.0,0,H,A
351,Essendon,Hawthorn,87.0,143.0,Docklands,2013,Round 18,Fri,26-Jul-2013,49505.0,0,H,A
352,Gold Coast,Carlton,77.0,120.0,Carrara,2013,Round 18,Sat,27-Jul-2013,19460.0,0,H,A
353,Melbourne,North Melbourne,28.0,150.0,Docklands,2013,Round 18,Sat,27-Jul-2013,16962.0,0,A,H
354,Collingwood,Greater Western Sydney,106.0,66.0,M.C.G.,2013,Round 18,Sat,27-Jul-2013,32691.0,1,H,A
355,Fremantle,Adelaide,75.0,53.0,Subiaco,2013,Round 18,Sat,27-Jul-2013,28765.0,1,H,A
356,Geelong,St Kilda,137.0,36.0,Kardinia Park,2013,Round 18,Sat,27-Jul-2013,26833.0,1,H,A
357,Port Adelaide,Brisbane Lions,71.0,62.0,Football Park,2013,Round 18,Sun,28-Jul-2013,22631.0,1,H,A
358,Western Bulldogs,West Coast,111.0,89.0,Docklands,2013,Round 18,Sun,28-Jul-2013,17019.0,1,H,A
359,Sydney,Richmond,110.0,63.0,S.C.G.,2013,Round 18,Sun,28-Jul-2013,29738.0,1,H,A
360,North Melbourne,Geelong,96.0,86.0,Docklands,2013,Round 19,Fri,02-Aug-2013,33584.0,1,H,A
361,Greater Western Sydney,Melbourne,124.0,87.0,Sydney Showground,2013,Round 19,Sat,03-Aug-2013,8308.0,1,H,A
362,Hawthorn,Richmond,66.0,107.0,M.C.G.,2013,Round 19,Sat,03-Aug-2013,64324.0,0,H,H
363,West Coast,Gold Coast,130.0,113.0,Subiaco,2013,Round 19,Sat,03-Aug-2013,32140.0,1,H,A
364,Carlton,Fremantle,80.0,116.0,Docklands,2013,Round 19,Sat,03-Aug-2013,30457.0,0,H,A
365,Brisbane Lions,St Kilda,108.0,77.0,Gabba,2013,Round 19,Sat,03-Aug-2013,19856.0,1,H,A
366,Western Bulldogs,Sydney,99.0,134.0,Docklands,2013,Round 19,Sun,04-Aug-2013,22647.0,0,H,A
367,Adelaide,Port Adelaide,103.0,107.0,Football Park,2013,Round 19,Sun,04-Aug-2013,43368.0,0,H,H
368,Collingwood,Essendon,133.0,54.0,M.C.G.,2013,Round 19,Sun,04-Aug-2013,69821.0,1,H,H
369,St Kilda,Hawthorn,56.0,102.0,Docklands,2013,Round 20,Fri,09-Aug-2013,24765.0,0,H,A
370,Richmond,Brisbane Lions,97.0,74.0,M.C.G.,2013,Round 20,Sat,10-Aug-2013,46961.0,1,H,A
371,Geelong,Port Adelaide,129.0,104.0,Kardinia Park,2013,Round 20,Sat,10-Aug-2013,24784.0,1,H,A
372,Carlton,Western Bulldogs,89.0,117.0,Docklands,2013,Round 20,Sat,10-Aug-2013,31126.0,0,H,H
373,Sydney,Collingwood,71.0,100.0,Stadium Australia,2013,Round 20,Sat,10-Aug-2013,42627.0,0,H,A
374,Gold Coast,Melbourne,90.0,77.0,Carrara,2013,Round 20,Sat,10-Aug-2013,13840.0,1,H,A
375,Essendon,West Coast,67.0,120.0,Docklands,2013,Round 20,Sun,11-Aug-2013,32595.0,0,H,A
376,Adelaide,North Melbourne,79.0,70.0,Football Park,2013,Round 20,Sun,11-Aug-2013,31801.0,1,H,A
377,Fremantle,Greater Western Sydney,157.0,44.0,Subiaco,2013,Round 20,Sun,11-Aug-2013,31390.0,1,H,A
378,Hawthorn,Collingwood,119.0,84.0,M.C.G.,2013,Round 21,Fri,16-Aug-2013,71533.0,1,H,H
379,Richmond,Carlton,96.0,106.0,M.C.G.,2013,Round 21,Sat,17-Aug-2013,60825.0,0,H,H
380,Port Adelaide,Gold Coast,113.0,96.0,Football Park,2013,Round 21,Sat,17-Aug-2013,18703.0,1,H,A
381,Essendon,North Melbourne,70.0,115.0,Docklands,2013,Round 21,Sat,17-Aug-2013,34102.0,0,H,H
382,West Coast,Geelong,41.0,107.0,Subiaco,2013,Round 21,Sat,17-Aug-2013,34394.0,0,H,A
383,Brisbane Lions,Greater Western Sydney,123.0,63.0,Gabba,2013,Round 21,Sat,17-Aug-2013,13855.0,1,H,A
384,Melbourne,Fremantle,38.0,133.0,M.C.G.,2013,Round 21,Sun,18-Aug-2013,13768.0,0,H,A
385,Sydney,St Kilda,118.0,59.0,S.C.G.,2013,Round 21,Sun,18-Aug-2013,26730.0,1,H,A
386,Western Bulldogs,Adelaide,131.0,114.0,Docklands,2013,Round 21,Sun,18-Aug-2013,17159.0,1,H,A
387,Collingwood,West Coast,101.0,39.0,M.C.G.,2013,Round 22,Fri,23-Aug-2013,41198.0,1,H,A
388,Adelaide,Melbourne,120.0,52.0,Football Park,2013,Round 22,Sat,24-Aug-2013,34653.0,1,H,A
389,North Melbourne,Hawthorn,103.0,117.0,Docklands,2013,Round 22,Sat,24-Aug-2013,33039.0,0,H,A
390,Geelong,Sydney,92.0,48.0,Kardinia Park,2013,Round 22,Sat,24-Aug-2013,28459.0,1,H,A
391,Fremantle,Port Adelaide,134.0,60.0,Subiaco,2013,Round 22,Sat,24-Aug-2013,35565.0,1,H,A
392,Carlton,Essendon,76.0,82.0,M.C.G.,2013,Round 22,Sat,24-Aug-2013,53630.0,0,H,H
393,St Kilda,Gold Coast,116.0,70.0,Docklands,2013,Round 22,Sun,25-Aug-2013,17622.0,1,H,A
394,Greater Western Sydney,Richmond,42.0,163.0,Sydney Showground,2013,Round 22,Sun,25-Aug-2013,12314.0,0,H,A
395,Brisbane Lions,Western Bulldogs,100.0,93.0,Gabba,2013,Round 22,Sun,25-Aug-2013,20130.0,1,H,A
396,Sydney,Hawthorn,100.0,112.0,Stadium Australia,2013,Round 23,Fri,30-Aug-2013,37980.0,0,H,A
397,St Kilda,Fremantle,112.0,41.0,Docklands,2013,Round 23,Sat,31-Aug-2013,22476.0,1,H,A
398,Geelong,Brisbane Lions,112.0,111.0,Kardinia Park,2013,Round 23,Sat,31-Aug-2013,27467.0,1,H,A
399,Port Adelaide,Carlton,103.0,104.0,Football Park,2013,Round 23,Sat,31-Aug-2013,45127.0,0,H,A
400,Essendon,Richmond,65.0,104.0,M.C.G.,2013,Round 23,Sat,31-Aug-2013,60979.0,0,H,H
401,West Coast,Adelaide,43.0,129.0,Subiaco,2013,Round 23,Sat,31-Aug-2013,29416.0,0,H,A
402,Gold Coast,Greater Western Sydney,146.0,63.0,Carrara,2013,Round 23,Sun,01-Sep-2013,13080.0,1,H,A
403,Collingwood,North Melbourne,114.0,125.0,M.C.G.,2013,Round 23,Sun,01-Sep-2013,50958.0,0,H,A
404,Western Bulldogs,Melbourne,107.0,87.0,Docklands,2013,Round 23,Sun,01-Sep-2013,22176.0,1,H,A
405,Hawthorn,Sydney,105.0,51.0,M.C.G.,2013,Qualifying Final,Fri,06-Sep-2013,59615.0,1,H,A
406,Geelong,Fremantle,72.0,87.0,Kardinia Park,2013,Qualifying Final,Sat,07-Sep-2013,32458.0,0,H,A
407,Collingwood,Port Adelaide,63.0,87.0,M.C.G.,2013,Elimination Final,Sat,07-Sep-2013,51722.0,0,H,A
408,Richmond,Carlton,96.0,116.0,M.C.G.,2013,Elimination Final,Sun,08-Sep-2013,94690.0,0,H,H
409,Geelong,Port Adelaide,96.0,80.0,M.C.G.,2013,Semi Final,Fri,13-Sep-2013,52744.0,1,A,A
410,Sydney,Carlton,86.0,62.0,Stadium Australia,2013,Semi Final,Sat,14-Sep-2013,37980.0,1,H,A
411,Hawthorn,Geelong,102.0,97.0,M.C.G.,2013,Preliminary Final,Fri,20-Sep-2013,85569.0,1,H,A
412,Fremantle,Sydney,99.0,74.0,Subiaco,2013,Preliminary Final,Sat,21-Sep-2013,43249.0,1,H,A
413,Hawthorn,Fremantle,77.0,62.0,M.C.G.,2013,Grand Final,Sat,28-Sep-2013,100007.0,1,H,A
414,Collingwood,Fremantle,46.0,116.0,Docklands,2014,Round 1,Fri,14-Mar-2014,37571.0,0,A,A
415,Greater Western Sydney,Sydney,99.0,67.0,Sydney Showground,2014,Round 1,Sat,15-Mar-2014,17102.0,1,H,A
416,Gold Coast,Richmond,87.0,69.0,Carrara,2014,Round 1,Sat,15-Mar-2014,19425.0,1,H,A
417,Carlton,Port Adelaide,87.0,120.0,Docklands,2014,Round 1,Sun,16-Mar-2014,24640.0,0,H,A
418,Geelong,Adelaide,119.0,81.0,Kardinia Park,2014,Round 1,Thu,20-Mar-2014,23622.0,1,H,A
419,North Melbourne,Essendon,60.0,99.0,Docklands,2014,Round 1,Fri,21-Mar-2014,42332.0,0,H,H
420,Hawthorn,Brisbane Lions,139.0,91.0,York Park,2014,Round 1,Sat,22-Mar-2014,12430.0,1,H,A
421,St Kilda,Melbourne,68.0,51.0,Docklands,2014,Round 1,Sat,22-Mar-2014,31657.0,1,H,A
422,West Coast,Western Bulldogs,134.0,69.0,Subiaco,2014,Round 1,Sun,23-Mar-2014,36752.0,1,H,A
423,Richmond,Carlton,98.0,86.0,M.C.G.,2014,Round 2,Thu,27-Mar-2014,62037.0,1,H,H
424,Essendon,Hawthorn,86.0,90.0,Docklands,2014,Round 2,Fri,28-Mar-2014,44163.0,0,H,A
425,St Kilda,Greater Western Sydney,95.0,88.0,Docklands,2014,Round 2,Sat,29-Mar-2014,19640.0,1,H,A
426,Port Adelaide,Adelaide,127.0,73.0,Adelaide Oval,2014,Round 2,Sat,29-Mar-2014,50397.0,1,H,H
427,Fremantle,Gold Coast,87.0,39.0,Subiaco,2014,Round 2,Sat,29-Mar-2014,35583.0,1,H,A
428,Sydney,Collingwood,69.0,89.0,Stadium Australia,2014,Round 2,Sat,29-Mar-2014,32347.0,0,H,A
429,Brisbane Lions,Geelong,68.0,93.0,Gabba,2014,Round 2,Sun,30-Mar-2014,20933.0,0,H,A
430,Melbourne,West Coast,30.0,123.0,M.C.G.,2014,Round 2,Sun,30-Mar-2014,22230.0,0,H,A
431,Western Bulldogs,North Melbourne,54.0,83.0,Docklands,2014,Round 2,Sun,30-Mar-2014,28512.0,0,H,H
432,Hawthorn,Fremantle,137.0,79.0,M.C.G.,2014,Round 3,Fri,04-Apr-2014,43583.0,1,H,A
433,Western Bulldogs,Richmond,100.0,98.0,Docklands,2014,Round 3,Sat,05-Apr-2014,31724.0,1,H,A
434,Adelaide,Sydney,71.0,134.0,Adelaide Oval,2014,Round 3,Sat,05-Apr-2014,47426.0,0,H,A
435,Gold Coast,Brisbane Lions,114.0,61.0,Carrara,2014,Round 3,Sat,05-Apr-2014,16593.0,1,H,A
436,West Coast,St Kilda,83.0,58.0,Subiaco,2014,Round 3,Sat,05-Apr-2014,36448.0,1,H,A
437,Collingwood,Geelong,76.0,87.0,M.C.G.,2014,Round 3,Sat,05-Apr-2014,63152.0,0,H,A
438,Greater Western Sydney,Melbourne,79.0,47.0,Sydney Showground,2014,Round 3,Sun,06-Apr-2014,7016.0,1,H,A
439,North Melbourne,Port Adelaide,97.0,90.0,Docklands,2014,Round 3,Sun,06-Apr-2014,19111.0,1,H,A
440,Essendon,Carlton,138.0,57.0,M.C.G.,2014,Round 3,Sun,06-Apr-2014,62730.0,1,H,H
441,Richmond,Collingwood,72.0,110.0,M.C.G.,2014,Round 4,Fri,11-Apr-2014,62100.0,0,H,H
442,Carlton,Melbourne,58.0,81.0,M.C.G.,2014,Round 4,Sat,12-Apr-2014,37323.0,0,H,H
443,Port Adelaide,Brisbane Lions,159.0,46.0,Adelaide Oval,2014,Round 4,Sat,12-Apr-2014,36231.0,1,H,A
444,Greater Western Sydney,Western Bulldogs,83.0,110.0,Manuka Oval,2014,Round 4,Sat,12-Apr-2014,7863.0,0,H,A
445,Geelong,West Coast,107.0,32.0,Kardinia Park,2014,Round 4,Sat,12-Apr-2014,25271.0,1,H,A
446,Gold Coast,Hawthorn,49.0,148.0,Carrara,2014,Round 4,Sat,12-Apr-2014,17729.0,0,H,A
447,Sydney,North Melbourne,48.0,91.0,S.C.G.,2014,Round 4,Sun,13-Apr-2014,25505.0,0,H,A
448,St Kilda,Adelaide,50.0,136.0,Docklands,2014,Round 4,Sun,13-Apr-2014,22923.0,0,H,A
449,Fremantle,Essendon,113.0,60.0,Subiaco,2014,Round 4,Sun,13-Apr-2014,36722.0,1,H,A
450,Brisbane Lions,Richmond,63.0,106.0,Gabba,2014,Round 5,Thu,17-Apr-2014,20676.0,0,H,A
451,Collingwood,North Melbourne,93.0,58.0,M.C.G.,2014,Round 5,Sat,19-Apr-2014,57116.0,1,H,A
452,Sydney,Fremantle,92.0,75.0,S.C.G.,2014,Round 5,Sat,19-Apr-2014,25376.0,1,H,A
453,West Coast,Port Adelaide,56.0,70.0,Subiaco,2014,Round 5,Sat,19-Apr-2014,35366.0,0,H,A
454,Essendon,St Kilda,65.0,81.0,Docklands,2014,Round 5,Sat,19-Apr-2014,36041.0,0,H,H
455,Adelaide,Greater Western Sydney,137.0,72.0,Adelaide Oval,2014,Round 5,Sun,20-Apr-2014,44770.0,1,H,A
456,Melbourne,Gold Coast,78.0,86.0,M.C.G.,2014,Round 5,Sun,20-Apr-2014,17243.0,0,H,A
457,Western Bulldogs,Carlton,91.0,119.0,Docklands,2014,Round 5,Sun,20-Apr-2014,27986.0,0,H,H
